host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
8492007,1.3128,103.88672,3,0,0.0,203,365,7,3,True,False,False,168.4436090225564
158241795,1.29108,103.77172,10,0,0.0,1,261,4,3,False,True,False,143.05759162303664
66406177,1.27572,103.84524,30,0,0.0,274,109,0,3,True,False,False,197.59271523178808
219550151,1.31104,103.85682,7,0,0.0,113,364,7,0,True,False,False,163.18349928876245
201034613,1.32944,103.86526,14,0,0.0,67,365,7,1,True,False,False,165.6
99439643,1.31546,103.89428,1,6,0.32,1,0,1,4,False,True,False,168.4436090225564
218507225,1.31154,103.79495,7,2,0.98,8,345,4,0,False,False,True,172.71764705882353
1439258,1.28034,103.78605,4,0,0.0,32,318,4,0,False,False,True,143.05759162303664
200705490,1.28085,103.8257,1,2,0.16,1,0,0,2,True,False,False,153.31270358306188
31464513,1.29327,103.84143,5,0,0.0,114,287,0,0,True,False,False,171.55648535564853
155214027,1.2906,103.80686,3,33,1.84,1,61,4,0,True,False,False,143.05759162303664
60024674,1.316,103.84462,30,0,0.0,5,272,3,2,True,False,False,174.6969696969697
29420853,1.32809,103.84825,4,2,0.18,141,257,3,1,True,False,False,174.6969696969697
10248444,1.295,103.83932,2,4,1.62,48,325,0,1,True,False,False,171.55648535564853
151196270,1.27376,103.84684,30,0,0.0,45,363,0,1,True,False,False,197.59271523178808
56973509,1.34301,103.84112,1,1,0.04,1,0,3,4,False,True,False,165.6
142383246,1.31188,103.88907,5,12,0.72,1,1,7,1,True,False,False,168.4436090225564
49075669,1.31479,103.88989,1,8,1.68,1,165,7,4,False,True,False,168.4436090225564
8492007,1.32324,103.85348,3,0,0.0,203,254,3,0,True,False,False,174.6969696969697
32798595,1.28008,103.8532,30,0,0.0,41,365,0,2,False,True,False,197.59271523178808
102007408,1.32459,103.84289,4,2,0.07,1,79,3,1,False,True,False,174.6969696969697
20883050,1.31131,103.88343,1,47,0.8,37,346,7,1,False,True,False,168.4436090225564
198555113,1.31302,103.87998,1,1,0.18,2,226,7,0,True,False,False,168.4436090225564
101145755,1.31574,103.84074,3,0,0.0,11,365,3,3,True,False,False,174.6969696969697
32184450,1.31555,103.85829,14,0,0.0,67,365,7,2,True,False,False,163.18349928876245
8948251,1.30796,103.86323,18,2,0.07,83,360,7,0,False,True,False,163.18349928876245
80695251,1.31892,103.86357,4,1,0.03,1,0,7,4,False,True,False,163.18349928876245
