host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
20546604,1.37318,103.90152,30,5,0.08,1,363,6,2,False,False,True,141.26923076923077
70114962,1.3755,103.8294,7,0,0.0,2,86,3,2,False,True,False,117.26315789473684
271954097,1.40345,103.91401,2,0,0.0,1,5,6,2,False,True,False,86.95454545454545
14613568,1.39584,103.90079,3,63,3.0,3,292,6,4,False,True,False,82.68
63152849,1.39973,103.91061,2,2,0.59,2,356,6,4,False,True,False,86.95454545454545
24396553,1.37632,103.83192,30,0,0.0,3,270,3,1,True,False,False,117.26315789473684
29964275,1.39538,103.8808,1,0,0.0,1,0,6,1,False,True,False,82.68
25422139,1.35092,103.88049,14,4,0.1,2,364,6,4,False,True,False,141.26923076923077
271051581,1.3938,103.87613,2,8,4.53,2,122,6,4,False,True,False,82.68
77912036,1.36711,103.89832,7,1,0.04,1,0,6,1,True,False,False,141.26923076923077
91056974,1.40315,103.91113,1,0,0.0,1,0,6,4,False,True,False,86.95454545454545
237131449,1.36872,103.89837,2,1,0.34,2,330,6,3,False,True,False,141.26923076923077
104308804,1.35439,103.86644,30,2,0.06,1,180,3,0,True,False,False,91.31111111111112
29295816,1.36644,103.87583,2,1,1.0,5,363,6,4,False,True,False,141.26923076923077
150540513,1.41196,103.89907,2,2,0.55,1,54,6,4,False,True,False,86.95454545454545
52903143,1.36158,103.88404,1,0,0.0,1,0,6,1,False,True,False,141.26923076923077
6727323,1.34432,103.86255,1,42,0.73,3,267,3,2,False,True,False,91.31111111111112
11538600,1.38078,103.90126,1,0,0.0,1,90,6,2,False,True,False,82.68
93851525,1.35284,103.86522,1,0,0.0,1,89,3,4,False,True,False,91.31111111111112
66002076,1.37256,103.84784,1,0,0.0,1,0,3,0,False,True,False,117.26315789473684
78357301,1.38621,103.89426,30,0,0.0,2,179,6,0,False,True,False,82.68
17916952,1.36948,103.89242,10,0,0.0,2,86,6,3,False,True,False,141.26923076923077
6205803,1.37821,103.90257,1,0,0.0,1,0,6,0,True,False,False,141.26923076923077
68346034,1.40214,103.90466,1,0,0.0,1,0,6,3,False,True,False,86.95454545454545
100724500,1.39971,103.88977,30,0,0.0,1,213,6,1,False,True,False,82.68
4019759,1.37576,103.90349,30,19,0.42,1,270,6,2,True,False,False,141.26923076923077
276695204,1.36765,103.89828,2,5,3.85,1,163,6,1,False,True,False,141.26923076923077
63152849,1.40225,103.90988,2,63,1.74,2,352,6,4,False,True,False,86.95454545454545
14818409,1.37425,103.87317,1,2,2.0,2,364,6,4,False,True,False,91.31111111111112
34707865,1.34399,103.87076,1,51,1.02,3,74,3,0,False,True,False,91.31111111111112
218544488,1.39759,103.91302,5,9,0.94,1,90,6,4,False,True,False,86.95454545454545
19226311,1.37096,103.83507,1,22,0.72,1,300,3,4,False,True,False,117.26315789473684
62243213,1.36888,103.84629,1,0,0.0,1,365,3,4,False,True,False,117.26315789473684
95539967,1.35012,103.87982,30,0,0.0,3,365,7,3,False,True,False,141.26923076923077
54233522,1.3621,103.8861,5,6,0.38,1,0,6,4,False,True,False,141.26923076923077
246976048,1.35049,103.86473,1,8,2.07,1,0,3,3,False,True,False,91.31111111111112
8492007,1.35725,103.86766,7,11,0.25,203,365,3,0,True,False,False,91.31111111111112
115112951,1.36043,103.88409,30,3,0.1,1,0,6,3,False,True,False,141.26923076923077
3824517,1.36743,103.87288,30,0,0.0,1,365,6,0,False,True,False,91.31111111111112
31212677,1.40029,103.90401,1,1,0.79,2,365,6,4,False,True,False,86.95454545454545
100368677,1.36365,103.88195,3,22,1.03,5,64,6,0,False,True,False,141.26923076923077
124795503,1.39155,103.9052,1,0,0.0,1,0,6,0,False,True,False,82.68
107079541,1.36626,103.84143,2,6,1.4,1,147,3,4,False,True,False,117.26315789473684
46355892,1.39019,103.87137,1,0,0.0,1,0,6,2,False,False,True,82.68
252986758,1.39103,103.9062,30,0,0.0,1,365,6,4,False,True,False,82.68
277223691,1.36921,103.87768,30,0,0.0,1,365,6,1,True,False,False,141.26923076923077
52300367,1.37971,103.89766,30,4,0.1,2,0,6,4,False,True,False,82.68
100368677,1.36258,103.88068,3,11,0.61,5,61,6,0,False,True,False,141.26923076923077
181538046,1.38014,103.89863,3,0,0.0,1,88,6,2,False,True,False,82.68
51209996,1.39085,103.87926,7,0,0.0,1,0,6,4,False,True,False,82.68
28142522,1.38064,103.90033,30,6,0.19,1,363,6,4,False,True,False,82.68
274368510,1.37121,103.88038,30,0,0.0,1,173,6,1,False,True,False,141.26923076923077
48666236,1.37401,103.82762,1,0,0.0,1,0,3,4,False,True,False,117.26315789473684
233236839,1.38035,103.89479,1,1,0.13,1,57,6,1,False,True,False,82.68
112243804,1.35689,103.88187,4,0,0.0,2,11,6,0,True,False,False,141.26923076923077
9728236,1.3478,103.88031,15,9,0.24,1,0,7,4,True,False,False,91.31111111111112
77077626,1.36491,103.86186,2,8,0.34,3,365,3,4,False,True,False,91.31111111111112
27072426,1.38404,103.89558,3,5,0.1,2,0,6,2,False,True,False,82.68
118676322,1.37461,103.90443,5,4,0.72,1,358,6,4,False,True,False,141.26923076923077
52404087,1.39546,103.88036,30,2,0.29,1,164,6,2,True,False,False,82.68
6359940,1.35279,103.87746,1,25,11.03,1,141,6,2,False,True,False,141.26923076923077
230533062,1.39044,103.90595,1,2,1.58,1,0,6,4,False,True,False,82.68
78357301,1.38629,103.89326,3,5,0.27,2,0,6,0,False,True,False,82.68
4053150,1.39963,103.9064,1,0,0.0,1,365,6,4,False,True,False,86.95454545454545
25422497,1.35141,103.87921,10,5,0.17,7,214,6,3,False,True,False,141.26923076923077
35972743,1.34987,103.86487,1,0,0.0,1,0,3,2,False,True,False,91.31111111111112
16734568,1.38446,103.86203,3,1,0.34,1,152,6,0,False,True,False,91.31111111111112
95539967,1.34997,103.88114,30,0,0.0,3,323,6,0,False,True,False,141.26923076923077
104602837,1.37866,103.90196,1,5,0.17,2,273,6,1,False,True,False,141.26923076923077
148489389,1.39159,103.907,5,2,2.0,3,86,6,4,False,True,False,82.68
209835780,1.37359,103.84138,1,0,0.0,3,0,3,4,False,True,False,117.26315789473684
283531597,1.39915,103.88931,1,0,0.0,1,52,6,1,False,True,False,82.68
29313840,1.37762,103.89024,1,0,0.0,1,0,6,4,False,True,False,141.26923076923077
249590675,1.37623,103.90311,1,0,0.0,1,180,6,0,False,True,False,141.26923076923077
5249382,1.37369,103.87847,30,6,0.12,2,339,6,1,False,True,False,141.26923076923077
8725237,1.39088,103.85303,1,0,0.0,1,365,5,4,False,True,False,117.26315789473684
64261467,1.35984,103.87375,1,0,0.0,1,173,6,0,False,True,False,91.31111111111112
48381928,1.3859,103.87357,3,6,0.15,2,180,6,0,True,False,False,91.31111111111112
34707865,1.34604,103.87111,1,70,1.38,3,341,3,4,False,True,False,91.31111111111112
17295605,1.34489,103.8724,2,3,0.05,1,0,3,4,False,True,False,91.31111111111112
117734470,1.35107,103.86461,7,2,2.0,8,69,3,3,False,True,False,91.31111111111112
251205732,1.3823,103.89774,2,0,0.0,1,363,6,1,False,True,False,82.68
187738931,1.3615,103.8615,1,5,0.71,1,36,3,2,False,True,False,91.31111111111112
135298846,1.37529,103.88016,6,6,0.42,22,361,6,1,True,False,False,141.26923076923077
99564980,1.3461,103.87647,4,1,1.0,1,261,7,4,False,True,False,91.31111111111112
102492573,1.40321,103.91767,1,8,0.69,1,87,6,4,False,True,False,86.95454545454545
287739845,1.38752,103.85531,1,0,0.0,3,172,6,4,False,True,False,117.26315789473684
28260347,1.40436,103.90788,3,11,0.76,1,0,6,3,False,True,False,86.95454545454545
56790426,1.38021,103.90128,1,0,0.0,1,0,6,4,False,True,False,82.68
264978490,1.35575,103.88796,1,1,0.33,1,0,6,2,True,False,False,141.26923076923077
44697867,1.36675,103.89587,30,49,1.12,1,358,6,4,False,True,False,141.26923076923077
25422497,1.34978,103.88091,30,0,0.0,7,174,6,0,False,True,False,141.26923076923077
5249382,1.37256,103.87992,30,0,0.0,2,105,6,4,False,True,False,141.26923076923077
49409188,1.37156,103.87465,30,0,0.0,2,365,6,1,False,True,False,91.31111111111112
162094352,1.35302,103.86464,1,1,0.05,1,0,3,4,False,True,False,91.31111111111112
22907669,1.36935,103.84157,30,0,0.0,1,185,3,4,False,True,False,117.26315789473684
135298846,1.37675,103.87819,6,4,0.23,22,361,6,1,True,False,False,141.26923076923077
217717703,1.40058,103.89659,1,0,0.0,1,179,6,3,True,False,False,86.95454545454545
126914776,1.37385,103.8483,1,0,0.0,1,364,3,4,False,True,False,117.26315789473684
135298846,1.3768,103.88022,6,9,0.78,22,361,6,1,True,False,False,141.26923076923077
133922394,1.37271,103.9011,1,0,0.0,1,363,6,1,True,False,False,141.26923076923077
2434934,1.36854,103.87111,10,6,0.23,1,0,6,2,True,False,False,91.31111111111112
246525654,1.38254,103.89356,30,0,0.0,1,365,6,2,False,False,True,82.68
117734470,1.35024,103.86571,3,3,0.41,8,0,3,3,False,True,False,91.31111111111112
25422497,1.35139,103.88113,20,10,0.3,7,0,6,3,False,True,False,141.26923076923077
2987679,1.40376,103.90501,1,9,2.57,1,45,6,2,False,True,False,86.95454545454545
29427922,1.39877,103.87251,30,0,0.0,1,358,6,4,False,True,False,82.68
27072426,1.38424,103.89553,4,25,0.52,2,104,6,2,False,True,False,82.68
94622308,1.35077,103.86915,30,0,0.0,1,365,3,2,False,True,False,91.31111111111112
264712052,1.38787,103.87452,20,1,1.0,1,96,6,2,False,True,False,82.68
175000878,1.3554,103.88965,3,6,1.89,1,6,6,3,False,True,False,141.26923076923077
220445318,1.39328,103.89557,1,6,0.61,1,0,6,4,False,False,True,82.68
128320725,1.38956,103.90301,30,0,0.0,1,365,6,3,False,True,False,82.68
7609000,1.35621,103.8873,1,9,0.26,1,358,6,1,True,False,False,141.26923076923077
18330396,1.34842,103.87213,30,2,0.06,1,178,3,3,False,True,False,91.31111111111112
