host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
101040883,1.38156,103.75984,1,15,0.67,6,118,2,4,True,False,False,95.67391304347827
34397948,1.35955,103.75002,1,0,0.0,1,364,2,4,False,True,False,97.95555555555555
159079845,1.35151,103.70257,3,1,0.05,2,0,2,4,False,True,False,92.3061224489796
143892668,1.34647,103.72188,5,7,0.3,13,355,2,3,True,False,False,92.3061224489796
138649185,1.3146,103.75969,15,1,0.05,76,355,4,2,False,True,False,167.29166666666666
56289328,1.29873,103.76384,1,0,0.0,1,0,4,0,False,True,False,167.29166666666666
26234557,1.38088,103.75983,2,4,0.07,1,0,2,0,True,False,False,95.67391304347827
12756385,1.38353,103.76407,30,13,0.52,1,329,2,4,False,True,False,473.6
104193036,1.34322,103.68744,30,1,0.05,2,179,2,4,False,True,False,92.3061224489796
135756776,1.29912,103.76448,6,2,0.1,22,264,4,1,True,False,False,167.29166666666666
151749186,1.3385,103.71956,2,26,1.19,1,86,2,4,False,True,False,92.3061224489796
183511167,1.34327,103.70511,3,8,0.55,8,365,2,0,False,True,False,92.3061224489796
96946019,1.35497,103.73796,30,0,0.0,1,100,2,4,False,True,False,97.95555555555555
44165891,1.34726,103.70083,30,1,0.02,1,365,2,4,False,True,False,92.3061224489796
151527816,1.37724,103.7374,1,1,0.07,1,362,2,2,False,False,True,95.67391304347827
47153665,1.35349,103.70204,1,36,0.78,2,131,2,0,False,True,False,92.3061224489796
25062093,1.32133,103.75687,1,18,2.25,2,269,4,4,False,True,False,167.29166666666666
72431839,1.33979,103.72034,4,2,0.62,1,0,2,3,False,True,False,92.3061224489796
59156085,1.3466,103.75154,1,0,0.0,1,365,2,4,False,True,False,97.95555555555555
136819478,1.35118,103.70194,3,3,0.16,3,0,2,0,False,True,False,92.3061224489796
66406177,1.33539,103.74386,30,1,0.67,274,318,2,3,True,False,False,210.01162790697674
136819478,1.35154,103.70114,2,0,0.0,3,0,2,0,False,True,False,92.3061224489796
44705593,1.36459,103.7492,30,0,0.0,1,122,2,0,False,True,False,97.95555555555555
103692249,1.34951,103.69746,30,0,0.0,2,365,2,2,False,True,False,92.3061224489796
135756776,1.29819,103.76398,6,13,0.62,22,362,4,1,True,False,False,167.29166666666666
44467429,1.37855,103.76041,4,40,2.33,1,331,2,3,False,True,False,97.95555555555555
139838895,1.37745,103.74565,2,16,0.62,1,179,2,4,False,True,False,95.67391304347827
63681037,1.29695,103.76518,3,4,0.1,1,0,4,4,False,True,False,167.29166666666666
146100311,1.34525,103.72394,3,7,0.31,10,348,2,2,False,True,False,92.3061224489796
9293170,1.34621,103.72257,3,8,0.28,14,356,2,1,False,True,False,92.3061224489796
66406177,1.33567,103.74346,30,0,0.0,274,333,2,3,True,False,False,210.01162790697674
277268084,1.36065,103.76277,3,2,1.54,1,364,2,0,False,True,False,97.95555555555555
8077242,1.39176,103.75235,2,5,0.34,1,0,2,4,False,True,False,95.67391304347827
238891646,1.31473,103.75964,3,0,0.0,34,364,4,1,True,False,False,167.29166666666666
