host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
2413412,1.30774,103.86332,18,8,0.13,112,359,0,2,False,True,False,159.83821478382148
11051997,1.29681,103.83755,30,0,0.0,1,173,3,3,True,False,False,167.0909090909091
278109833,1.29037,103.83083,3,0,0.0,31,29,3,3,True,False,False,150.39755351681958
12067440,1.31054,103.86098,1,11,0.2,20,351,0,3,False,True,False,159.83821478382148
14521708,1.31354,103.88649,5,21,0.79,67,61,6,2,True,False,False,168.67319277108433
248196938,1.32203,103.86391,2,17,3.27,14,315,0,1,True,False,False,159.83821478382148
258477842,1.30748,103.85335,1,11,3.03,10,198,0,0,False,True,False,188.51497005988023
2413412,1.28486,103.84178,30,1,0.07,112,343,3,1,False,True,False,141.7289719626168
15963434,1.27866,103.8549,1,0,0.0,1,0,3,0,False,True,False,207.91666666666666
117734470,1.32293,103.85178,3,11,2.68,8,116,0,3,True,False,False,177.3125
8268663,1.31361,103.87374,30,0,0.0,1,318,6,2,False,True,False,159.83821478382148
258072880,1.29195,103.80839,1,10,2.48,4,65,2,3,True,False,False,150.39755351681958
23145293,1.26569,103.81606,1,3,3.0,3,45,3,2,True,False,False,150.39755351681958
190528532,1.29291,103.8314,5,1,0.08,1,177,3,1,True,False,False,184.59677419354838
169949358,1.29967,103.85227,5,0,0.0,4,0,0,0,False,True,False,188.51497005988023
66406177,1.30342,103.78484,3,1,0.17,274,0,2,3,True,False,False,140.9673913043478
97878860,1.31118,103.86167,18,0,0.0,59,362,0,2,False,True,False,159.83821478382148
25185912,1.30372,103.84057,30,0,0.0,14,364,3,2,False,True,False,188.13186813186815
31464513,1.31595,103.85443,5,2,0.16,114,329,0,2,True,False,False,159.83821478382148
212039019,1.28453,103.83169,1,2,1.0,7,356,3,0,False,False,True,150.39755351681958
31464513,1.32654,103.84702,13,2,0.16,114,362,0,3,True,False,False,177.3125
47866620,1.31382,103.85429,2,56,1.89,13,158,0,2,False,True,False,159.83821478382148
31464513,1.31426,103.89816,3,2,0.2,114,52,6,1,True,False,False,168.67319277108433
151196270,1.27376,103.84684,30,0,0.0,45,363,3,3,True,False,False,207.91666666666666
56581820,1.29446,103.82572,3,17,0.45,5,362,3,4,True,False,False,210.3684210526316
219550151,1.31134,103.87761,3,1,0.52,113,365,6,1,True,False,False,168.67319277108433
20828188,1.30775,103.85665,1,0,0.0,13,178,0,4,False,True,False,188.51497005988023
46685310,1.29576,103.83985,2,6,1.78,28,326,3,4,False,True,False,167.0909090909091
66406177,1.31534,103.88599,30,1,0.25,274,243,6,2,True,False,False,168.67319277108433
97206233,1.30473,103.83446,1,19,0.56,10,324,3,3,False,True,False,188.13186813186815
20883050,1.31131,103.88343,1,47,0.8,37,346,6,3,False,True,False,168.67319277108433
198555113,1.31302,103.87998,1,1,0.18,2,226,6,1,True,False,False,168.67319277108433
32184450,1.31593,103.85336,3,2,0.46,67,365,0,1,True,False,False,159.83821478382148
227215611,1.31926,103.86329,2,1,0.23,2,162,0,1,False,True,False,159.83821478382148
2413412,1.30884,103.86143,28,1,0.03,112,331,0,2,False,True,False,159.83821478382148
15503071,1.31352,103.85505,30,23,0.61,13,259,0,0,False,True,False,159.83821478382148
61619807,1.29776,103.83889,2,21,0.84,27,333,3,4,False,True,False,167.0909090909091
135298846,1.2989,103.84255,6,21,1.01,22,305,3,4,True,False,False,211.0
60024674,1.31743,103.84506,30,0,0.0,5,213,0,3,True,False,False,177.3125
31464513,1.3129,103.853,12,0,0.0,114,365,0,2,True,False,False,159.83821478382148
176676798,1.28878,103.84765,1,5,0.44,4,323,3,0,False,False,True,184.59677419354838
8097097,1.2934,103.84021,3,8,0.61,1,0,3,3,True,False,False,167.0909090909091
28801530,1.29395,103.84165,2,10,1.59,1,57,3,0,False,True,False,167.0909090909091
66406177,1.27515,103.84504,8,1,0.48,274,0,3,2,True,False,False,207.91666666666666
66406177,1.28958,103.81994,30,0,0.0,274,244,3,2,True,False,False,150.39755351681958
212039019,1.28612,103.83365,1,0,0.0,7,359,3,0,False,False,True,150.39755351681958
48754014,1.27858,103.84891,3,70,2.12,2,22,3,1,True,False,False,207.91666666666666
56774651,1.3104,103.85776,3,4,0.21,1,0,0,4,True,False,False,159.83821478382148
144936523,1.31389,103.88428,29,1,0.07,12,88,6,0,False,True,False,168.67319277108433
29420853,1.31021,103.87819,3,19,1.65,141,299,6,2,True,False,False,168.67319277108433
262337792,1.29482,103.83809,9,0,0.0,11,258,3,4,False,True,False,167.0909090909091
219550151,1.32922,103.86847,5,0,0.0,113,362,0,1,True,False,False,179.0
1439258,1.28097,103.78728,5,2,0.13,32,361,2,2,False,True,False,140.9673913043478
209913841,1.27279,103.83454,22,0,0.0,157,365,3,4,True,False,False,150.39755351681958
8948251,1.31321,103.85771,18,0,0.0,83,342,0,3,False,True,False,159.83821478382148
29420853,1.31295,103.88515,5,0,0.0,141,365,6,2,True,False,False,168.67319277108433
210617633,1.31415,103.88324,1,12,2.02,1,107,6,4,True,False,False,168.67319277108433
56421978,1.31739,103.85318,3,2,2.0,7,363,0,1,True,False,False,159.83821478382148
253217128,1.30179,103.86003,1,1,0.7,7,365,0,0,False,False,True,188.51497005988023
114571845,1.29802,103.85709,1,38,1.43,3,68,0,3,True,False,False,207.91666666666666
4412979,1.31768,103.77954,3,49,1.25,8,313,2,2,False,True,False,164.7263157894737
14777132,1.35231,103.85031,1,9,1.02,1,27,4,0,False,True,False,151.525
234870042,1.31147,103.87826,3,0,0.0,28,318,6,2,True,False,False,168.67319277108433
2413412,1.31272,103.85832,18,0,0.0,112,360,0,0,False,True,False,159.83821478382148
61762641,1.28427,103.84271,1,0,0.0,6,304,3,0,False,True,False,141.7289719626168
45735223,1.31507,103.88652,2,2,0.46,1,123,6,3,True,False,False,168.67319277108433
250510187,1.3436,103.77051,2,4,1.1,7,346,5,4,True,False,False,164.7263157894737
28788520,1.30628,103.78515,30,0,0.0,7,279,2,2,False,True,False,140.9673913043478
109333133,1.29734,103.83994,2,52,2.47,18,318,3,4,False,True,False,167.0909090909091
211434941,1.29581,103.85504,1,8,0.29,7,362,3,0,False,True,False,207.91666666666666
14521708,1.3155,103.88596,30,59,0.96,67,86,6,3,True,False,False,168.67319277108433
184542569,1.31171,103.8535,1,0,0.0,3,341,0,4,False,True,False,188.51497005988023
99799327,1.33964,103.76805,1,0,0.0,1,11,5,1,False,True,False,164.7263157894737
9436844,1.30767,103.88146,2,0,0.0,1,0,6,0,False,True,False,168.67319277108433
131052744,1.29615,103.8366,2,24,1.63,1,269,3,4,False,True,False,167.0909090909091
8527085,1.28059,103.84938,2,16,1.95,38,289,3,1,True,False,False,207.91666666666666
66406177,1.33161,103.86767,30,1,0.18,274,209,0,4,True,False,False,179.0
35691521,1.3228,103.85244,5,0,0.0,45,254,0,3,True,False,False,177.3125
109391687,1.30388,103.83358,1,23,0.75,10,315,3,0,False,True,False,291.5652173913044
46515276,1.31108,103.8741,2,6,0.14,11,361,6,0,False,True,False,159.83821478382148
32184450,1.32732,103.86398,3,29,1.37,67,364,0,3,True,False,False,159.83821478382148
235817515,1.33757,103.77967,30,0,0.0,1,0,2,2,True,False,False,164.7263157894737
159804766,1.31107,103.87686,2,0,0.0,79,365,6,1,True,False,False,168.67319277108433
66406177,1.27451,103.84416,30,1,0.53,274,242,3,2,True,False,False,207.91666666666666
209913841,1.32446,103.85044,3,1,0.32,157,345,0,1,True,False,False,177.3125
109391687,1.30529,103.8328,1,1,0.79,10,328,3,0,False,True,False,291.5652173913044
29420853,1.32869,103.8474,25,10,0.21,141,365,0,3,True,False,False,177.3125
81596134,1.29847,103.83448,2,30,2.85,16,309,3,1,False,True,False,167.0909090909091
152267975,1.29655,103.80661,5,0,0.0,11,0,2,2,True,False,False,140.9673913043478
90619731,1.32346,103.8657,5,6,0.18,1,0,0,3,True,False,False,159.83821478382148
135756776,1.2907,103.84165,6,20,0.8,22,282,3,3,True,False,False,184.59677419354838
10756571,1.30248,103.80027,1,27,0.9,1,353,2,0,False,True,False,140.9673913043478
7029973,1.32191,103.85393,2,42,4.13,5,77,0,0,False,True,False,177.3125
2413412,1.30957,103.86082,18,1,0.09,112,362,0,2,False,True,False,159.83821478382148
137951106,1.32364,103.85386,3,9,0.44,14,359,0,1,True,False,False,177.3125
219550151,1.29946,103.8514,6,1,1.0,113,294,0,1,True,False,False,188.51497005988023
35691521,1.31441,103.89884,3,0,0.0,45,51,6,3,True,False,False,168.67319277108433
97878860,1.28517,103.84305,30,1,0.11,59,356,3,4,False,True,False,141.7289719626168
201034613,1.30119,103.84701,3,0,0.0,67,76,3,1,True,False,False,188.51497005988023
97950106,1.31489,103.85983,1,0,0.0,3,179,0,1,False,False,True,159.83821478382148
23336011,1.28209,103.8449,7,6,0.7,40,362,3,4,True,False,False,141.7289719626168
47866620,1.31358,103.85466,2,25,0.98,13,146,0,2,False,True,False,159.83821478382148
218722083,1.28099,103.84635,1,3,0.86,5,284,3,1,False,True,False,141.7289719626168
158218013,1.29524,103.83787,1,20,4.69,7,6,3,0,True,False,False,167.0909090909091
268719878,1.31667,103.85783,2,2,1.67,1,0,0,0,False,True,False,159.83821478382148
189449378,1.28301,103.83112,1,2,0.24,26,266,3,3,True,False,False,150.39755351681958
