host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
109640479,1.34344,103.9545,30,0,0.0,1,365,7,2,True,False,False,107.15384615384616
4705949,1.34308,103.96009,4,8,0.24,13,68,7,1,False,True,False,107.15384615384616
45112161,1.35402,103.93276,1,0,0.0,2,364,7,1,False,True,False,107.15384615384616
41234655,1.32071,103.90878,2,76,1.7,2,357,6,4,True,False,False,156.624
367042,1.34567,103.95963,1,22,0.22,9,355,7,0,False,True,False,107.15384615384616
68059127,1.31692,103.91223,3,1,0.07,21,343,6,0,False,True,False,156.624
1386714,1.32716,103.94654,3,8,0.3,2,128,7,2,True,False,False,156.624
77460827,1.31864,103.90845,5,7,0.24,1,0,6,1,False,True,False,156.624
66896194,1.33702,103.92437,3,1,0.03,1,0,7,0,False,True,False,156.624
60695093,1.34392,103.95853,3,5,0.45,1,0,7,0,False,True,False,107.15384615384616
41234655,1.31904,103.91087,1,1,0.18,2,353,6,2,True,False,False,156.624
5845605,1.33734,103.92298,3,22,0.46,1,171,7,1,True,False,False,156.624
367042,1.34566,103.95994,1,9,0.15,9,361,7,0,False,True,False,107.15384615384616
63448912,1.31387,103.93091,30,1,0.09,43,365,7,3,False,True,False,156.624
138461683,1.37249,103.95158,1,36,3.53,1,339,7,1,False,True,False,93.85106382978724
157093067,1.32273,103.93284,3,4,0.24,1,239,7,1,False,True,False,156.624
68059127,1.32073,103.91585,3,1,0.08,21,322,6,2,False,True,False,156.624
157846928,1.37021,103.94633,30,0,0.0,2,179,7,1,False,True,False,93.85106382978724
9774294,1.31491,103.90701,3,23,3.18,1,269,6,2,True,False,False,156.624
263604602,1.32335,103.91496,2,1,0.65,1,0,6,0,False,True,False,156.624
66978433,1.31738,103.90867,1,0,0.0,1,0,6,2,False,True,False,156.624
11226435,1.32953,103.91386,1,25,0.61,1,0,6,0,False,True,False,156.624
2825246,1.32328,103.90852,2,21,1.82,3,73,6,1,False,True,False,156.624
4705949,1.34144,103.95809,4,29,0.54,13,75,7,1,False,True,False,107.15384615384616
108773366,1.30835,103.91107,1,0,0.0,109,358,6,0,False,True,False,156.624
