host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
47526026,1.42571,103.82591,30,23,0.52,2,359,1,0,False,True,False,42.0
43591543,1.41718,103.83231,10,4,1.45,15,135,1,2,True,False,False,120.57142857142857
40248541,1.4123,103.84376,1,0,0.0,6,350,1,4,False,True,False,120.57142857142857
19503893,1.42901,103.78468,2,0,0.0,1,0,1,1,True,False,False,86.08695652173913
6632570,1.44052,103.79784,1,0,0.0,4,353,1,2,False,True,False,86.08695652173913
112299696,1.4412,103.82236,7,0,0.0,3,365,1,0,False,True,False,76.9
250431154,1.42971,103.78167,1,2,0.43,1,179,1,1,False,True,False,86.08695652173913
187856464,1.35107,103.82031,2,69,4.45,1,276,0,3,True,False,False,192.6086956521739
192595419,1.43749,103.83001,30,0,0.0,1,304,1,4,True,False,False,120.57142857142857
127363293,1.43089,103.79559,30,0,0.0,1,0,1,3,False,True,False,86.08695652173913
153705629,1.43147,103.77815,2,0,0.0,1,73,1,1,False,True,False,86.08695652173913
22915511,1.42736,103.78624,1,5,4.55,1,115,1,4,True,False,False,86.08695652173913
172761127,1.41619,103.84311,1,1,1.0,2,179,1,0,False,True,False,120.57142857142857
16070680,1.4463,103.8345,1,2,0.07,1,0,1,0,False,True,False,76.9
266763,1.44246,103.79667,6,20,0.2,2,365,1,1,False,True,False,86.08695652173913
214040123,1.42032,103.71969,2,0,0.0,1,365,5,1,False,False,True,65.0
4850041,1.42946,103.77896,14,0,0.0,3,101,1,1,False,False,True,86.08695652173913
23456043,1.43254,103.84178,1,4,3.16,1,356,1,3,False,True,False,120.57142857142857
261277453,1.44283,103.82652,30,0,0.0,1,157,1,1,False,True,False,76.9
156409670,1.35244,103.81877,3,0,0.0,78,331,0,1,True,False,False,192.6086956521739
64714179,1.43877,103.83037,1,0,0.0,3,364,1,3,True,False,False,120.57142857142857
56702256,1.44347,103.80081,30,0,0.0,1,365,1,1,False,True,False,86.08695652173913
252457369,1.43317,103.80033,2,1,1.0,2,42,1,0,False,True,False,86.08695652173913
66406177,1.35111,103.81952,14,0,0.0,274,2,0,2,True,False,False,192.6086956521739
104198651,1.41877,103.84626,2,0,0.0,1,0,1,1,False,True,False,120.57142857142857
266763,1.44255,103.7958,30,1,0.01,2,365,1,0,False,True,False,86.08695652173913
48400548,1.44928,103.78434,1,20,0.44,2,35,1,0,False,True,False,86.08695652173913
66406177,1.35304,103.82044,30,0,0.0,274,247,0,2,True,False,False,192.6086956521739
163023572,1.43208,103.78838,1,0,0.0,1,83,1,0,False,True,False,86.08695652173913
147591995,1.35135,103.81935,1,0,0.0,1,0,0,1,True,False,False,192.6086956521739
40248541,1.41016,103.84466,1,5,0.12,6,347,1,0,False,True,False,120.57142857142857
66406177,1.35297,103.8209,30,0,0.0,274,292,0,2,True,False,False,192.6086956521739
66406177,1.35153,103.82046,30,1,0.33,274,240,0,2,True,False,False,192.6086956521739
37736471,1.44218,103.80508,1,2,0.33,1,0,1,3,False,True,False,86.08695652173913
128465640,1.44861,103.79962,2,30,1.09,2,311,1,0,False,True,False,86.08695652173913
48381928,1.42999,103.78503,7,14,0.31,2,180,1,1,True,False,False,86.08695652173913
219550151,1.35133,103.82058,7,0,0.0,113,364,0,0,True,False,False,192.6086956521739
34438130,1.43537,103.77406,1,1,0.08,1,363,1,0,False,True,False,86.08695652173913
102027164,1.44968,103.81611,30,1,0.12,2,365,1,0,False,True,False,76.9
4850041,1.43104,103.7789,2,8,5.11,3,0,1,0,False,True,False,86.08695652173913
172761127,1.41545,103.8436,1,13,2.71,2,36,1,1,False,True,False,120.57142857142857
220675517,1.35312,103.81946,3,30,2.96,1,19,0,3,True,False,False,192.6086956521739
132755501,1.42315,103.84248,1,5,0.77,1,70,1,0,False,True,False,120.57142857142857
156409670,1.35133,103.81942,3,0,0.0,78,364,0,1,True,False,False,192.6086956521739
40248541,1.41169,103.8448,1,0,0.0,6,351,1,4,False,True,False,120.57142857142857
156409670,1.35233,103.81874,2,0,0.0,78,364,0,0,True,False,False,192.6086956521739
28809566,1.4401,103.82477,6,1,0.02,7,364,1,0,False,True,False,76.9
28809566,1.442,103.82203,6,1,0.05,7,364,1,0,False,True,False,76.9
28809566,1.44151,103.82377,5,2,0.04,7,364,1,2,False,False,True,76.9
64714179,1.44011,103.82926,1,0,0.0,3,0,1,3,True,False,False,76.9
22944500,1.4483,103.81893,2,27,1.28,1,0,1,2,False,True,False,76.9
105770238,1.42814,103.78087,1,2,0.1,2,363,1,1,False,True,False,86.08695652173913
12583472,1.42838,103.78088,30,0,0.0,1,90,1,3,True,False,False,86.08695652173913
182133846,1.35168,103.81945,30,0,0.0,2,365,0,3,False,True,False,192.6086956521739
23874147,1.43268,103.77437,30,6,0.47,2,323,1,1,False,True,False,86.08695652173913
269744474,1.44406,103.80855,2,0,0.0,1,258,1,0,False,True,False,86.08695652173913
152267975,1.35262,103.81935,5,1,0.6,11,0,0,2,True,False,False,192.6086956521739
43591543,1.44577,103.82883,10,9,1.73,15,161,1,0,False,True,False,76.9
109104281,1.43018,103.80082,1,0,0.0,1,123,1,0,False,True,False,86.08695652173913
41596775,1.44687,103.81787,3,1,0.05,1,0,1,2,False,True,False,76.9
35666883,1.43725,103.82731,1,17,1.12,7,364,1,0,False,True,False,76.9
148809201,1.43992,103.82201,7,0,0.0,3,365,1,1,False,True,False,76.9
23929369,1.44013,103.79117,2,0,0.0,1,363,1,3,False,True,False,86.08695652173913
162057511,1.44718,103.79966,2,1,0.05,1,0,1,1,False,False,True,86.08695652173913
18254305,1.45201,103.81722,1,0,0.0,1,0,1,1,True,False,False,76.9
66406177,1.35183,103.81964,7,0,0.0,274,0,0,2,True,False,False,192.6086956521739
228807601,1.42162,103.8382,1,0,0.0,1,365,1,2,False,False,True,120.57142857142857
105770238,1.42827,103.78186,1,7,0.21,2,363,1,1,False,True,False,86.08695652173913
15035611,1.45111,103.82765,1,7,0.28,1,0,1,0,False,True,False,76.9
28809566,1.44194,103.822,6,0,0.0,7,364,1,2,False,True,False,76.9
168666642,1.43972,103.78788,1,0,0.0,2,365,1,1,False,True,False,86.08695652173913
70413876,1.43543,103.83894,4,5,0.14,1,0,1,1,False,True,False,120.57142857142857
16796674,1.43605,103.79861,1,0,0.0,1,0,1,1,False,True,False,86.08695652173913
9764764,1.41597,103.84165,2,45,1.95,1,351,1,2,False,True,False,120.57142857142857
112299696,1.44096,103.82183,7,2,0.06,3,365,1,1,False,True,False,76.9
9478865,1.44622,103.81651,30,0,0.0,1,353,1,4,False,True,False,76.9
28809566,1.44123,103.82224,5,0,0.0,7,365,1,2,False,True,False,76.9
60304127,1.42855,103.79359,2,17,0.43,2,0,1,0,False,True,False,86.08695652173913
48018398,1.42843,103.77711,1,1,0.14,1,88,1,0,False,True,False,86.08695652173913
